track_name,artist_name,album_name,release_date,length,popularity,id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
A Certain Kind,Weyes Blood,A Certain Kind b/w Everybody's Talkin',2017-09-07,321976,0,3636egwUYpcxSQqe3HSU0Q,0.146,0.271,0.432,0.912,0,0.0648,-9.359,1,0.0373,82.58,4
Movies,Weyes Blood,Movies,2019-03-19,353732,0,4ZYFWXoHCIdsdgUdOMK9fr,0.637,0.0876,0.363,0.407,7,0.106,-8.924,0,0.0345,73.286,4
Green Nail Polish,Told Slant,Going By,2016-06-17,190698,0,4Qw74GllUQDKL6zMtyURQa,0.682,0.488,0.269,0.00616,7,0.114,-10.886,1,0.0416,133.984,4
What Am I To Do,Mick Jenkins,What Am I To Do,2018-08-27,175609,0,65Mnqq7nlnL29EnVnOVFDM,0.032,0.699,0.73,0.0,9,0.466,-7.336,1,0.394,81.724,4
Agiborê (Fatboy Slim Presents MPB4),MPB4,Fatboy Slim Presents Bem Brasil,2014-01-01,301640,29,0TDZKYDx1ycc9VzGCQ5315,0.000223,0.765,0.906,0.746,11,0.0771,-8.456,0,0.043,125.016,4
One Beer,MF DOOM,MM...FOOD,2004,258586,0,4O4Y5pZNd0kge9aw95OaYC,0.1,0.375,0.722,0.00336,7,0.633,-6.7,1,0.243,90.712,4
Soul Rising,Blu,Below the Heavens,2007-08-07,209440,15,6k5HTUWdoTyXdsGC3Kw58t,0.217,0.558,0.864,0.0,5,0.882,-5.029,1,0.271,94.086,4
Little Bit of Lovin,Roy Woods,Say Less,2017-12-01,172874,19,5l5wRXA7asTNjh3V0oNGPs,0.0126,0.784,0.653,2.48e-06,1,0.317,-6.022,1,0.0365,108.064,4
Handcuff 'Em,88-Keys,The Death Of Adam,2008-11-11,172666,0,50IkDXMpn0R75LAzk84e1U,0.283,0.509,0.604,0.0,11,0.274,-6.882,0,0.392,93.892,4
Purple Baguettes,88GLAM,88GLAM2,2018-11-16,168493,49,6Vzs6iGlyb4JTnVX5NAoFk,0.303,0.699,0.43,0.0,10,0.11,-8.641,0,0.111,120.025,5
Skank!,Skaposting,You Wouldn't Download a Trombone,2018-06-01,107000,0,1EsaJWBloYRlamTQ7W03wQ,0.0183,0.642,0.73,0.859,7,0.203,-7.178,1,0.0557,74.968,4
Konnichiwa,Skepta,Konnichiwa,2016-05-06,196465,46,0Yo9iPwWq7sLuFgoglnTb4,0.0085,0.788,0.592,6.75e-05,8,0.164,-10.667,1,0.356,138.021,4
Lyrics,Skepta,Konnichiwa,2016-05-06,156492,43,5kzHkRmphRbt6ZwEmgd7RQ,0.0832,0.596,0.719,0.0,7,0.352,-8.666,1,0.389,138.795,4
Corn on the Curb,Skepta,Konnichiwa,2016-05-06,301167,40,6yFCWWW4AnZaLQ4nR7nniL,0.401,0.576,0.641,1.28e-06,11,0.138,-10.195,0,0.515,89.389,5
Crime Riddim,Skepta,Konnichiwa,2016-05-06,276220,41,5NucMmR6MVuWsBfW4322yw,0.354,0.505,0.671,2.62e-05,9,0.25,-9.919,1,0.432,161.397,4
It Ain't Safe,Skepta,Konnichiwa,2016-05-06,223411,54,26DdCbuwHRX1BgWeHQIn1C,0.00799,0.903,0.521,0.0,1,0.119,-8.174,1,0.318,150.018,4
Ladies Hit Squad,Skepta,Konnichiwa,2016-05-06,279592,43,5DddJVNEGBfUxy9Dtr45gI,0.0977,0.6,0.589,0.0,0,0.167,-8.812,1,0.117,124.913,4
Numbers,Skepta,Konnichiwa,2016-05-06,198449,37,1BHquBolJN628btHI6X0vq,0.395,0.953,0.4,0.00254,11,0.0943,-7.963,0,0.196,120.057,4
Man,Skepta,Konnichiwa,2016-05-06,214258,50,13w7sJT2Xu6AN4gGj4wGv3,0.0141,0.744,0.758,1.22e-05,2,0.213,-6.501,1,0.263,137.892,4
Shutdown,Skepta,Konnichiwa,2016-05-06,188938,58,44GokgCa37BTZP2NU2zkoJ,0.126,0.656,0.746,0.0,7,0.508,-4.716,1,0.314,104.044,3
That's Not Me,Skepta,Konnichiwa,2016-05-06,185967,56,3tTDOodJcr6vKF2DASlwMZ,0.334,0.827,0.854,0.0,0,0.073,-3.43,1,0.238,139.089,4
Detox,Skepta,Konnichiwa,2016-05-06,167848,39,71md8EbjkbsvLmDBRa9syJ,0.0187,0.751,0.777,0.0039,10,0.359,-7.226,0,0.243,140.063,4
Text Me Back,Skepta,Konnichiwa,2016-05-06,264957,39,2OKpV0BwfrTDR0afe4mDxA,0.152,0.611,0.684,1.02e-06,1,0.418,-9.08,1,0.4,135.563,4
Elephant,Tame Impala,Lonerism,2012-01-01,211226,69,6qZjm61s6u8Ead9sWxCDro,0.562,0.598,0.553,0.157,9,0.257,-6.742,0,0.0397,123.075,4
Give Up the Goods (Just Step) (feat. Big Noyd),Mobb Deep,The Infamous,1995-04-25,243133,57,61VlApj8p2ZaP0WTunTrKT,0.0568,0.782,0.597,0.0,1,0.582,-6.399,1,0.335,94.631,4
Cantaloupe Island - Remastered,Herbie Hancock,Empyrean Isles (Expanded Edition),1964-06-17,333946,57,0sCeNwt8xRCMR4NhKpMyBe,0.749,0.515,0.583,0.000294,0,0.123,-8.182,0,0.0284,116.11,4
Inside My Love - Remastered,Minnie Riperton,Capitol Gold: The Best Of Minnie Riperton,1993-01-01,238693,50,1HdNTlZrGTlgxDn31GB6Sv,0.519,0.527,0.279,0.0211,10,0.116,-12.679,0,0.0297,90.728,4
The Bold Arrow Of Time,Tame Impala,InnerSpeaker,2010-05-21,228706,35,3Yax5GwfBq0Y5sqC63EAyK,0.82,0.341,0.536,0.582,0,0.311,-5.918,1,0.0348,122.155,4
Better Now,Yuna,Better Now,2018-12-07,232613,22,4baFSFLNit6bSF4tAt6NGS,0.937,0.41,0.314,0.0,10,0.12,-9.804,1,0.0528,89.71,5
